life_history,Taxon,Habitat,Phylum,Class,Family,Genus,Species,Name,High_acc_temp,Low_acc_temp,Acc_window,proximity_high_acc_ctmax,Source,ctmax,ctmax_ARR,duration,latitude,longitude,Metric,ramping,abs_latitude,Latitudinal_bin,min_latitudinal_bin,Hemisphere,Abs_northern_distribution,Abs_southern_distrib,min_hemisphere_lim,max_hemisphere_lim,lat_range_size,mid_latitude,mean_env_temp,max_env_temp,Ctmax_now,TSM,time_loss_TSM_4.5,time_loss_TSM_8.5,time_gained_with_acclimation_4.5,time_gained_with_acclimation_8.5,percent_increase_TSM,Error_checked,Reference,doi,Jstor_ref,ref,url,,,,,,,,
adult,aquatic invertebrates,marine,Cnidaria,Anthozoa,Actiniidae,Urticinopsis,antarctica,Urticinopsis antarctica,6.0,0.0,6.0,6.6,wild,12.6,0.0,270,-67,-68,crit,0.0,67,high,60.0,S,-62,-78,62,78,16,70,-1.0,0.3,12.6,12.3,577.9,315.2,0.0,0.0,0,14/04/2017,Morley unpub,-,,,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Drosophilidae,Drosophila,busckii,Drosophila busckii,27.0,19.0,8.0,11.1,wild,38.1,0.0,5,-19,146,crit,6.0,19,low,12.5,S,81,-38,0,81,81,41,30.6,37.3,38.1,0.8,36.7,22.5,0.0,0.0,0,15/04/2017,Overgaard et al 2011,doi: 10.1086/661780,,,,,,,,,,,
adult,aquatic invertebrates,marine,Echinodermata,Echinoidea,Cucumariidae,Heterocucumis,steineni,Heterocucumis steineni,3.0,0.0,3.0,10.3,wild,13.3,0.0,53,-67,-68,crit,0.0,67,high,60.0,S,-54,-76,55,76,21,66,-1.0,0.3,13.3,13.0,610.9,333.1,0.0,0.0,0,15/04/2017,Peck et al 2010,doi:10.1242/jeb.089946 ,,,,,,,,,,,
adult,aquatic invertebrates,marine,Brachiopoda,Rhynchonellata,Terebratulidae,Liothyrella,uva,Liothyrella uva,3.0,0.0,3.0,10.6,wild,13.6,0.0,53,-67,-68,crit,0.0,67,high,60.0,S,-54,-76,55,76,21,66,-1.0,0.3,13.6,13.3,625.0,340.8,0.0,0.0,0,15/04/2017,Peck et al 2010,doi:10.1242/jeb.089946 ,,,,,,,,,,,
adult,aquatic invertebrates,marine,Arthropoda,Malacostraca,Maeridae,Paraceradocus,meirsii,Paraceradocus meirsii,3.0,0.0,3.0,8.6,wild,11.6,0.0,53,-67,-68,crit,0.0,67,high,60.0,S,-54,-76,55,76,21,66,-1.0,0.3,11.6,11.3,530.9,289.5,0.0,0.0,0,15/04/2017,Peck et al 2010,doi:10.1242/jeb.089946 ,,,,,,,,,,,
adult,aquatic invertebrates,marine,Echinodermata,Echinoidea,Echinidae,Sterechinus,neumayeri,Sterechinus neumayeri,3.0,0.0,3.0,10.5,wild,13.5,0.0,53,-67,-68,crit,0.0,67,high,60.0,S,-54,-76,55,76,21,66,-1.0,0.3,13.5,13.2,620.3,338.3,0.0,0.0,0,15/04/2017,Peck et al 2010,doi:10.1242/jeb.089946 ,,,,,,,,,,,
adult,aquatic invertebrates,marine,Mollusca,Bivalvia,Nuculanidae,Yoldia,eightsi,Yoldia eightsi,3.0,0.0,3.0,17.3,wild,20.3,0.0,53,-67,-68,crit,0.0,67,high,60.0,S,-54,-76,55,76,21,66,-1.0,0.3,20.3,20.0,940.2,512.7,0.0,0.0,0,15/04/2017,Peck et al 2010,doi:10.1242/jeb.089946 ,,,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Chrysomelidae,Chirodica,chalcoptera,Chirodica chalcoptera,19.0,12.0,7.0,22.9,wild,41.9,0.0,7,-33,19,crit,15.0,33,mid,37.5,S,20,0,0,20,20,10,29.8,35.0,41.9,6.9,409.4,246.7,0.0,0.0,0,15/04/2017,Terblanche et al 2005,doi:10.1016/j.jinsphys.2005.04.016 ,,,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Drosophilidae,Drosophila,sulfurigaster,Drosophila sulfurigaster,27.0,19.0,8.0,9.6,wild,36.6,0.0,5,-17,145,crit,6.0,17,low,12.5,S,41,-27,0,41,41,21,30.7,37.7,36.6,0.0,0.0,0.0,0.0,0.0,0,15/04/2017,Overgaard et al 2011,doi: 10.1086/661780,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Lacertidae,Takydromus,formosanus,Takydromus formosanus,30.0,20.0,10.0,13.4,wild,43.4,0.0,14,25,122,crit,45.0,25,low,12.5,N,25,22,22,25,3,24,31.7,38.2,43.4,5.2,273.9,173.9,2.7,1.7,1,11/04/2017,"Huang et al., 2008",doi: 10.1016/j.jtherbio.2007.09.007,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Amphibia,Bufonidae,Anaxyrus,debilis,Anaxyrus debilis,30.0,23.0,7.0,10.1,wild,40.1,0.0,17,22,-105,crit,60.0,22,low,12.5,N,38,23,23,38,15,31,29.3,36.0,40.1,4.1,134.9,81.1,1.9,1.2,1,17/02/2017,Brattstrom 1968,doi: 10.1016/0010-406X(68)90961-4,,,,,,,,,,,
