temp,surv,set_time,strain,inc,fig
17,62.73653566,360,ts,10,1c
18,67.68558952,360,ts,10,1c
19,67.2489083,360,ts,10,1c
13,87.48180495,720,ts,10,1c
14,78.74818049,720,ts,10,1c
15,72.34352256,720,ts,10,1c
16,73.79912664,720,ts,10,1c
17,77.43813683,720,ts,10,1c
18,64.04657933,720,ts,10,1c
19,40.3202329,720,ts,10,1c
13,82.96943231,1440,ts,10,1c
14,53.12954876,1440,ts,10,1c
15,46.43377001,1440,ts,10,1c
16,48.18049491,1440,ts,10,1c
17,44.54148472,1440,ts,10,1c
18,5.676855895,1440,ts,10,1c
19,-0.145560408,1440,ts,10,1c
13,96.85628743,7.5,ng,10,1d
14,82.18562874,7.5,ng,10,1d
15,69.61077844,7.5,ng,10,1d
16,83.83233533,7.5,ng,10,1d
17,92.66467066,7.5,ng,10,1d
18,87.5748503,7.5,ng,10,1d
19,95.95808383,7.5,ng,10,1d
13,97.75449102,15,ng,10,1d
14,72.15568862,15,ng,10,1d
15,89.97005988,15,ng,10,1d
16,88.0239521,15,ng,10,1d
17,98.80239521,15,ng,10,1d
18,91.01796407,15,ng,10,1d
19,95.05988024,15,ng,10,1d
13,93.56287425,30,ng,10,1d
14,74.10179641,30,ng,10,1d
15,77.39520958,30,ng,10,1d
16,94.31137725,30,ng,10,1d
17,90.26946108,30,ng,10,1d
18,95.05988024,30,ng,10,1d
19,84.28143713,30,ng,10,1d
13,92.51497006,60,ng,10,1d
14,98.80239521,60,ng,10,1d
15,78.74251497,60,ng,10,1d
16,72.90419162,60,ng,10,1d
17,91.01796407,60,ng,10,1d
18,96.55688623,60,ng,10,1d
19,95.20958084,60,ng,10,1d
13,69.91017964,180,ng,10,1d
14,100.1497006,180,ng,10,1d
15,85.17964072,180,ng,10,1d
16,86.67664671,180,ng,10,1d
17,86.9760479,180,ng,10,1d
18,93.71257485,180,ng,10,1d
19,72.45508982,180,ng,10,1d
13,89.07185629,360,ng,10,1d
14,80.23952096,360,ng,10,1d
15,95.20958084,360,ng,10,1d
16,69.91017964,360,ng,10,1d
17,84.43113772,360,ng,10,1d
18,66.76646707,360,ng,10,1d
19,40.26946108,360,ng,10,1d
13,83.83233533,720,ng,10,1d
14,86.52694611,720,ng,10,1d
15,73.35329341,720,ng,10,1d
16,90.71856287,720,ng,10,1d
17,56.28742515,720,ng,10,1d
18,35.02994012,720,ng,10,1d
19,34.43113772,720,ng,10,1d
13,52.39520958,1440,ng,10,1d
14,43.11377246,1440,ng,10,1d
15,21.70658683,1440,ng,10,1d
16,50.2994012,1440,ng,10,1d
17,10.62874251,1440,ng,10,1d
18,5.389221557,1440,ng,10,1d
19,5.988023952,1440,ng,10,1d
13,84.02282454,7.5,ts,10,1e
14,72.18259629,7.5,ts,10,1e
15,83.88017118,7.5,ts,10,1e
16,83.02425107,7.5,ts,10,1e
17,64.33666191,7.5,ts,10,1e
18,84.7360913,7.5,ts,10,1e
19,70.04279601,7.5,ts,10,1e
13,70.89871612,15,ts,10,1e
14,58.77318117,15,ts,10,1e
15,85.73466476,15,ts,10,1e
16,75.60627675,15,ts,10,1e
17,73.60912981,15,ts,10,1e
18,78.03138374,15,ts,10,1e
19,79.45791726,15,ts,10,1e
13,85.44935806,30,ts,10,1e
14,81.59771755,30,ts,10,1e
15,82.0256776,30,ts,10,1e
16,70.04279601,30,ts,10,1e
17,75.32097004,30,ts,10,1e
18,84.02282454,30,ts,10,1e
19,86.44793153,30,ts,10,1e
13,56.34807418,60,ts,10,1e
14,58.77318117,60,ts,10,1e
15,75.03566334,60,ts,10,1e
16,85.44935806,60,ts,10,1e
17,76.74750357,60,ts,10,1e
18,75.60627675,60,ts,10,1e
19,79.60057061,60,ts,10,1e
13,78.03138374,180,ts,10,1e
14,80.17118402,180,ts,10,1e
15,81.45506419,180,ts,10,1e
16,93.15263909,180,ts,10,1e
17,82.16833096,180,ts,10,1e
18,88.15977175,180,ts,10,1e
19,78.7446505,180,ts,10,1e
13,100.4279601,360,ts,10,1e
14,91.72610556,360,ts,10,1e
15,80.74179743,360,ts,10,1e
16,82.59629101,360,ts,10,1e
17,91.58345221,360,ts,10,1e
18,79.45791726,360,ts,10,1e
19,73.75178317,360,ts,10,1e
13,84.7360913,720,ts,10,1e
14,76.60485021,720,ts,10,1e
15,92.01141227,720,ts,10,1e
16,89.44365193,720,ts,10,1e
17,65.19258203,720,ts,10,1e
18,21.68330956,720,ts,10,1e
19,5.420827389,720,ts,10,1e
13,54.7788873,1440,ts,10,1e
14,70.04279601,1440,ts,10,1e
15,78.03138374,1440,ts,10,1e
16,79.60057061,1440,ts,10,1e
17,18.54493581,1440,ts,10,1e
18,23.9657632,1440,ts,10,1e
19,0.142653352,1440,ts,10,1e
13,55.19203414,7.5,ng,10,1f
14,68.70554765,7.5,ng,10,1f
15,31.29445235,7.5,ng,10,1f
16,52.91607397,7.5,ng,10,1f
17,73.96870555,7.5,ng,10,1f
18,50.21337127,7.5,ng,10,1f
19,64.86486486,7.5,ng,10,1f
13,58.17923186,15,ng,10,1f
14,77.3826458,15,ng,10,1f
15,38.97581792,15,ng,10,1f
16,74.6799431,15,ng,10,1f
17,75.39118065,15,ng,10,1f
18,79.23186344,15,ng,10,1f
19,43.52773826,15,ng,10,1f
13,80.51209104,30,ng,10,1f
14,67.42532006,30,ng,10,1f
15,63.72688478,30,ng,10,1f
16,44.23897582,30,ng,10,1f
17,73.11522048,30,ng,10,1f
18,77.95163585,30,ng,10,1f
19,47.79516358,30,ng,10,1f
13,91.74964438,60,ng,10,1f
14,70.27027027,60,ng,10,1f
15,72.68847795,60,ng,10,1f
16,62.58890469,60,ng,10,1f
17,72.11948791,60,ng,10,1f
18,70.41251778,60,ng,10,1f
19,40.54054054,60,ng,10,1f
13,85.20625889,180,ng,10,1f
14,70.55476529,180,ng,10,1f
15,57.46799431,180,ng,10,1f
16,49.50213371,180,ng,10,1f
17,50.78236131,180,ng,10,1f
18,74.82219061,180,ng,10,1f
19,66.57183499,180,ng,10,1f
13,98.86201991,360,ng,10,1f
14,76.52916074,360,ng,10,1f
15,100,360,ng,10,1f
16,66.00284495,360,ng,10,1f
17,62.01991465,360,ng,10,1f
18,38.97581792,360,ng,10,1f
19,68.27880512,360,ng,10,1f
13,75.81792319,720,ng,10,1f
14,88.62019915,720,ng,10,1f
15,73.25746799,720,ng,10,1f
16,83.64153627,720,ng,10,1f
17,22.04836415,720,ng,10,1f
18,29.87197724,720,ng,10,1f
19,10.09957326,720,ng,10,1f
13,58.32147937,1440,ng,10,1f
14,58.03698435,1440,ng,10,1f
15,35.27738265,1440,ng,10,1f
16,46.94167852,1440,ng,10,1f
17,-0.142247511,1440,ng,10,1f
18,22.04836415,1440,ng,10,1f
19,2.844950213,1440,ng,10,1f
17,81.96721311,7.5,ts,14,2a
18,83.90461997,7.5,ts,14,2a
19,73.02533532,7.5,ts,14,2a
20,26.37853949,7.5,ts,14,2a
21,36.21460507,7.5,ts,14,2a
17,90.31296572,15,ts,14,2a
18,93.29359165,15,ts,14,2a
19,61.25186289,15,ts,14,2a
20,68.10730253,15,ts,14,2a
21,44.26229508,15,ts,14,2a
17,99.70193741,30,ts,14,2a
18,43.81520119,30,ts,14,2a
19,76.45305514,30,ts,14,2a
20,38.89716841,30,ts,14,2a
21,17.73472429,30,ts,14,2a
17,67.51117735,60,ts,14,2a
18,45.45454545,60,ts,14,2a
19,71.23695976,60,ts,14,2a
20,75.55886736,60,ts,14,2a
21,11.17734724,60,ts,14,2a
17,78.53949329,180,ts,14,2a
18,47.09388972,180,ts,14,2a
19,29.35916542,180,ts,14,2a
20,19.22503726,180,ts,14,2a
21,6.557377049,180,ts,14,2a
17,54.54545455,360,ts,14,2a
18,16.98956781,360,ts,14,2a
19,0.149031297,360,ts,14,2a
20,0.149031297,360,ts,14,2a
21,0.149031297,360,ts,14,2a
17,43.07004471,720,ts,14,2a
18,29.50819672,720,ts,14,2a
19,0.149031297,720,ts,14,2a
20,7.11E-15,720,ts,14,2a
21,0.149031297,720,ts,14,2a
17,22.80178838,1440,ts,14,2a
18,10.28315946,1440,ts,14,2a
19,0,1440,ts,14,2a
20,0,1440,ts,14,2a
21,0,1440,ts,14,2a
17,77.24637681,7.5,ng,14,2b
18,100.1449275,7.5,ng,14,2b
19,50.14492754,7.5,ng,14,2b
20,16.37681159,7.5,ng,14,2b
21,0.144927536,7.5,ng,14,2b
17,60.86956522,15,ng,14,2b
18,33.76811594,15,ng,14,2b
19,46.37681159,15,ng,14,2b
20,5.362318841,15,ng,14,2b
21,-9.275362319,15,ng,14,2b
17,71.5942029,30,ng,14,2b
18,52.17391304,30,ng,14,2b
19,37.82608696,30,ng,14,2b
20,10.14492754,30,ng,14,2b
21,8.695652174,30,ng,14,2b
17,13.1884058,60,ng,14,2b
18,10.72463768,60,ng,14,2b
19,14.49275362,60,ng,14,2b
20,11.01449275,60,ng,14,2b
21,-9.130434783,60,ng,14,2b
17,27.68115942,180,ng,14,2b
18,4.927536232,180,ng,14,2b
19,10.57971014,180,ng,14,2b
20,-9.565217391,180,ng,14,2b
21,-9.275362319,180,ng,14,2b
17,14.34782609,360,ng,14,2b
18,18.69565217,360,ng,14,2b
19,5.362318841,360,ng,14,2b
20,-12.60869565,360,ng,14,2b
21,-10.86956522,360,ng,14,2b
17,25.94202899,720,ng,14,2b
18,9.710144928,720,ng,14,2b
19,10,720,ng,14,2b
20,-10.86956522,720,ng,14,2b
21,-11.44927536,720,ng,14,2b
17,23.47826087,1440,ng,14,2b
18,-3.47826087,1440,ng,14,2b
19,-8.84057971,1440,ng,14,2b
20,-9.565217391,1440,ng,14,2b
21,-7.971014493,1440,ng,14,2b
17,62.77372263,7.5,ts,14,2c
18,59.12408759,7.5,ts,14,2c
19,74.89051095,7.5,ts,14,2c
20,63.94160584,7.5,ts,14,2c
21,-12.26277372,7.5,ts,14,2c
17,99.8540146,30,ts,14,2c
18,16.49635036,30,ts,14,2c
19,16.20437956,30,ts,14,2c
20,-10.94890511,30,ts,14,2c
21,-13.57664234,30,ts,14,2c
17,95.93613933,7.5,ng,14,2d
18,19.59361393,7.5,ng,14,2d
19,35.99419448,7.5,ng,14,2d
20,-8.998548621,7.5,ng,14,2d
21,18.57764877,7.5,ng,14,2d
17,51.81422351,30,ng,14,2d
18,17.12626996,30,ng,14,2d
19,29.7532656,30,ng,14,2d
20,-10.44992743,30,ng,14,2d
21,-8.998548621,30,ng,14,2d
17,50.50798258,60,ng,14,2d
18,15.96516691,60,ng,14,2d
19,0.290275762,60,ng,14,2d
20,14.07837446,60,ng,14,2d
21,-8.998548621,60,ng,14,2d
17,77.30600293,7.5,ts,14,2e
18,76.42752562,7.5,ts,14,2e
19,75.6954612,7.5,ts,14,2e
20,60.02928258,7.5,ts,14,2e
21,57.83308931,7.5,ts,14,2e
17,62.22547584,15,ts,14,2e
18,66.76427526,15,ts,14,2e
19,68.08199122,15,ts,14,2e
20,73.7920937,15,ts,14,2e
21,52.70863836,15,ts,14,2e
17,83.74816984,30,ts,14,2e
18,67.49633968,30,ts,14,2e
19,57.68667643,30,ts,14,2e
20,57.24743777,30,ts,14,2e
21,45.38799414,30,ts,14,2e
17,100.1464129,60,ts,14,2e
18,99.41434846,60,ts,14,2e
19,61.78623719,60,ts,14,2e
20,66.76427526,60,ts,14,2e
21,44.36310395,60,ts,14,2e
17,89.31185944,180,ts,14,2e
18,85.21229868,180,ts,14,2e
19,73.49926794,180,ts,14,2e
20,73.35285505,180,ts,14,2e
21,39.09224012,180,ts,14,2e
17,84.33382138,360,ts,14,2e
18,67.93557833,360,ts,14,2e
19,61.6398243,360,ts,14,2e
20,68.96046852,360,ts,14,2e
21,51.53733529,360,ts,14,2e
17,78.33089312,720,ts,14,2e
18,80.96632504,720,ts,14,2e
19,68.66764275,720,ts,14,2e
20,77.45241581,720,ts,14,2e
21,41.28843338,720,ts,14,2e
17,80.08784773,1440,ts,14,2e
18,56.66178624,1440,ts,14,2e
19,51.97657394,1440,ts,14,2e
20,55.78330893,1440,ts,14,2e
21,37.77452416,1440,ts,14,2e
17,81.56748911,7.5,ng,14,2f
18,59.21625544,7.5,ng,14,2f
19,52.6850508,7.5,ng,14,2f
20,54.86211901,7.5,ng,14,2f
21,36.42960813,7.5,ng,14,2f
17,64.73149492,15,ng,14,2f
18,55.44267054,15,ng,14,2f
19,42.96081277,15,ng,14,2f
20,46.73439768,15,ng,14,2f
21,42.52539913,15,ng,14,2f
17,76.77793904,30,ng,14,2f
18,68.65021771,30,ng,14,2f
19,49.78229318,30,ng,14,2f
20,48.91146589,30,ng,14,2f
21,42.96081277,30,ng,14,2f
17,96.37155298,60,ng,14,2f
18,97.38751814,60,ng,14,2f
19,100.4354136,60,ng,14,2f
20,60.23222061,60,ng,14,2f
21,48.91146589,60,ng,14,2f
17,75.61683599,180,ng,14,2f
18,68.79535559,180,ng,14,2f
19,82.58345428,180,ng,14,2f
20,65.31204644,180,ng,14,2f
21,56.02322206,180,ng,14,2f
17,75.18142235,360,ng,14,2f
18,74.45573295,360,ng,14,2f
19,77.0682148,360,ng,14,2f
20,34.25253991,360,ng,14,2f
21,23.80261248,360,ng,14,2f
17,66.76342525,720,ng,14,2f
18,69.37590711,720,ng,14,2f
19,55.7329463,720,ng,14,2f
20,30.18867925,720,ng,14,2f
21,20.17416546,720,ng,14,2f
17,69.52104499,1440,ng,14,2f
18,62.84470247,1440,ng,14,2f
19,7.547169811,1440,ng,14,2f
20,15.82002903,1440,ng,14,2f
21,11.90130624,1440,ng,14,2f
