Fish,UqRep,Treatment,Family,TestingT,Date,Time,W,SL,Sex,StartT,CTM,Video,Stimdist,Stimdirect,StimdirectR,LatencyMS,Response,DuratMS,Dist,VeloMS,MaxVeloMS,EndDirect,EndDirectR
IC11,I:C:1,C,I,28.5,23.04.17,16:40:00,1.896,37,M,,,498,91.226,307.235,5.362261553,25,Cstart,14.58293439,15.84,1.086201143,3.009007,244.654,4.270017212
I3d1a,I:3d:1,3d,I,30.5,23.04.17,16:50:00,1.679,33.82,M,,,499,94.799,112.751,1.967875901,18.75,Cstart,18.74984838,28.081,1.497665444,1.939493,159.291,2.780152017
IH3a,I:H:3,H,I,30.5,23.04.17,17:00:00,1.622,33.82,F,,,500,111.136,71.996,1.256567067,14.58333333,Cstart,12.49960816,23.26,1.860858333,3.095796,110.225,1.92378889
IH1b,I:H:1,H,I,30.5,23.04.17,17:05:00,1.863,35.3,F,,,501,67.138,313.781,5.476510789,14.58333333,Cstart,31.25132178,33.889,1.084402133,2.077816,203.962,3.559807935
I3d2b,I:3d:2,3d,I,30.5,23.04.17,17:15:00,1.916,36.58,M,,,502,82.845,186.221,3.250169117,29.16666667,Cstart,18.74847287,26.421,1.409234778,1.977345,252.35,4.404337732
IC32,I:C:3,C,I,28.5,24.04.17,16:00:00,2.714,41.34,M,,,504,70.309,4.611,0.08047712,168.75,Other,,,,,,
I7d12,I:7d:1,7d,I,28.5,24.04.17,16:10:00,2.223,39.16,M,,,505,85.426,127.807,2.230652635,12.5,Cstart,24.99772541,31.23,1.249313667,1.957954,156.801,2.736693325
I3d32,I:3d:3,3d,I,28.5,24.04.17,16:15:00,1.855,36.58,M,,,506,87.326,348.269,6.078439855,14.58333333,Cstart,29.16440487,38.871,1.332823357,2.909091,53.522,0.934134987
I7d32,I:7d:3,7d,I,28.5,24.04.17,16:50:00,2.163,37,M,,,507,57.58,353.991,6.17830758,10.41666667,Cstart,27.08389917,33.306,1.229734308,1.939493,213.111,3.719488085
I3d12,I:3d:1,3d,I,28.5,24.04.17,17:10:00,2.396,38.5,F,,,508,75.236,302.515,5.279882024,12.5,Cstart,29.16486,35.481,1.216566786,1.903063,182.263,3.181088995
I30d2a,I:30d:2,30d,I,30.5,24.04.17,17:25:00,2.095,37.28,M,,,509,41.921,319.086,5.569100493,75,Other,,,,,,
I7d2a,I:7d:2,7d,I,30.5,24.04.17,17:35:00,2.44,38.14,F,,,510,48.937,12.095,0.211097543,10.41666667,Cstart,33.33061835,51.408,1.542365625,1.99595,265.772,4.63859579
I7d3a,I:7d:3,7d,I,30.5,24.04.17,17:40:00,2.043,36.48,M,,,511,99.312,159.444,2.782822371,218.75,Cstart,52.08670176,32.956,0.63271428,1.437987,117.17,2.045001989
I7d1b,I:7d:1,7d,I,30.5,24.04.17,17:50:00,1.917,37.7,F,,,512,76.568,20.772,0.36253974,8.333333333,Cstart,20.83211167,27.852,1.3369744,1.957954,62.071,1.083343164
I30d3b,I:30d:3,30d,I,30.5,24.04.17,18:00:00,2.421,38.3,F,,,513,79.186,49.399,0.862175073,27.08333333,Cstart,27.08264122,30.326,1.119757846,1.976769,138.991,2.42585023
IC22,I:C:2,C,I,28.5,25.04.17,13:05:00,1.825,36.3,F,,,514,50.133,246.991,4.31080555,6.25,Cstart,22.91922226,20.982,0.915476091,1.920833,180.573,3.151592935
I3d13,I:3d:1,3d,I,28.5,25.04.17,13:15:00,2.079,37.22,F,,,515,64.397,300.069,5.237191277,137.5,Other,,,,,,
I7d13,I:7d:1,7d,I,28.5,25.04.17,13:25:00,1.935,35.62,M,,,516,59.894,353.387,6.167765793,89.58333333,Other,,,,,,
I7d33,I:7d:3,7d,I,28.5,25.04.17,13:35:00,2.291,35.88,F,,,517,66.871,295.463,5.156801423,10.41666667,Cstart,14.58235541,16.496,1.131230143,1.921377,291.371,5.085382561
IH1c,I:H:1,H,I,30.5,25.04.17,14:00:00,1.979,36.78,M,,,518,106.631,140.599,2.453915121,137.5,Cstart,12.49875012,9,0.720072,1.440144,203.848,3.55781826
I3d2c,I:3d:2,3d,I,30.5,25.04.17,14:10:00,2.826,40.48,M,,,519,87.938,78.062,1.362438724,460.4166667,Other,,,,,,
IH2b,I:H:2,H,I,30.5,25.04.17,14:50:00,1.987,36.7,F,,,521,109.268,261.87,4.570493052,18.75,Cstart,14.58276911,16.638,1.140935571,2.086117,190.305,3.321448353
IC2b,I:C:2,C,I,30.5,25.04.17,15:00:00,2.473,39,F,,,522,112.782,70.741,1.234663188,14.58333333,Cstart,18.75102446,18.151,0.968000444,2.716469,82.484,1.439617172
I3d2d,I:3d:2,3d,I,30.5,25.04.17,15:05:00,2.33,38.14,F,,,523,101.171,158.871,2.772821636,37.5,Cstart,16.6664313,16.08,0.964813625,2.016105,130.236,2.273046676
I30d12,I:30d:1,30d,I,28.5,25.04.17,15:45:00,1.879,35.6,F,,,524,44.542,122.661,2.140838005,8.333333333,Cstart,20.83253446,29.826,1.4317029,2.795574,194.036,3.386566578
IH12,I:H:1,H,I,28.5,25.04.17,15:50:00,1.796,34.4,F,,,525,47.46,14.931,0.260595073,6.25,Cstart,16.66503326,21.383,1.28310575,1.957954,124.509,2.173091685
IC23,I:C:2,C,I,28.5,25.04.17,16:00:00,2.298,39.36,F,,,526,103.827,91.081,1.589663106,12.5,Cstart,18.7499961,20.033,1.068426889,2.593894,153.435,2.677945551
I7d22,I:7d:2,7d,I,28.5,25.04.17,16:50:00,2.12,38.44,F,,,527,61.358,60.255,1.051647989,564.5833333,Other,,,,,,
IC1c,I:C:1,C,I,30.5,25.04.17,17:05:00,2.071,37.74,M,,,528,43.905,78.376,1.367919057,6.25,Cstart,24.99904934,35.829,1.4332145,3.126457,216.139,3.772336647
IH3b,I:H:3,H,I,30.5,25.04.17,17:10:00,2.244,37.74,F,,,529,87.12,300.643,5.247209465,312.5,Cstart,16.66883178,18.798,1.1277335,1.86849,265.301,4.63037529
I3d1b,I:3d:1,3d,I,30.5,25.04.17,17:20:00,1.223,31.78,F,,,530,88.298,46.355,0.809047258,22.91666667,Cstart,24.9997135,31.631,1.2652545,3.187742,189.768,3.312075937
IH2c,I:H:2,H,I,30.5,25.04.17,17:35:00,1.364,30.7,M,,,531,49.168,40.236,0.702250576,8.333333333,Cstart,20.8321549,31.82,1.5274464,2.717238,132.832,2.318355417
IH2d,I:H:2,H,I,30.5,25.04.17,17:40:00,1.785,34.62,F,,,532,92.261,30.379,0.530213497,285.4166667,Other,,,,,,
I7d14,I:7d:1,7d,I,28.5,26.04.17,10:20:00,2.029,36.98,F,,,533,72.428,94.316,1.6461245,14.58333333,Cstart,16.66578286,21.096,1.265827125,2.796388,141.953,2.477546875
I3d22,I:3d:2,3d,I,28.5,26.04.17,10:40:00,2.192,40,M,,,534,72.818,19.179,0.334736649,14.58333333,Cstart,18.74854267,23.023,1.227988778,1.996537,65.283,1.139403131
I30d13,I:30d:1,30d,I,28.5,26.04.17,10:45:00,2.33,39.06,M,,,535,30.229,315,5.49778635,6.25,Cstart,41.66604157,45.27,1.0864963,2.016105,216.254,3.774343776
IH33,I:H:3,H,I,28.5,26.04.17,10:50:00,1.625,33.92,M,,,536,75.983,312.436,5.453036114,89.58333333,Other,,,,,,
I3d23,I:3d:2,3d,I,28.5,26.04.17,11:20:00,2.482,37,F,,,537,61.78,53.027,0.925495609,25,Other,,,,,,
I30d22,I:30d:2,30d,I,28.5,26.04.17,14:05:00,1.777,34.86,F,,,538,69.321,79.883,1.394221165,10.41666667,Cstart,24.99795451,37.223,1.489041833,2.823529,214.968,3.751898845
IH34,I:H:3,H,I,28.5,26.04.17,14:10:00,2.07,37.74,M,,,539,75.625,285.255,4.978638239,875,Other,,,,,,
IH22,I:H:2,H,I,28.5,26.04.17,14:20:00,2.281,37.72,M,,,540,83.108,319.399,5.574563373,8.333333333,Cstart,24.99949775,33.39,1.335626833,2.016105,147.653,2.577030628
I30d14,I:30d:1,30d,I,28.5,26.04.17,14:40:00,2.476,40,F,,,541,75.957,255.779,4.464185063,29.16666667,Cstart,16.66471648,14.42,0.86530125,1.384482,197.103,3.440095819
IH13,I:H:1,H,I,28.5,26.04.17,14:50:00,1.381,31.5,F,,,542,83.497,294.59,5.141564701,220.8333333,Other,,,,,,
I30d32,I:30d:3,30d,I,28.5,26.04.17,15:00:00,2.001,36.9,F,,,543,59.025,229.97,4.013733101,12.5,Cstart,22.91528688,26.469,1.155080455,1.411765,155.225,2.70918694
I30d23,I:30d:2,30d,I,28.5,26.04.17,16:30:00,2.325,37.46,F,,,544,107.098,165.964,2.896617822,645.8333333,Cstart,,,,,124.007,2.164330133
IH23,I:H:2,H,I,28.5,26.04.17,16:35:00,1.481,32.96,M,,,545,62.854,293.033,5.114389929,10.41666667,Cstart,16.66624885,19.695,1.181729625,2.768965,219.56,3.832044352
IH24,I:H:2,H,I,28.5,26.04.17,16:40:00,1.83,35.1,F,,,546,72.549,51.116,0.892142372,235.4166667,Other,,,,,,
I30d24,I:30d:2,30d,I,28.5,26.04.17,16:50:00,1.909,34.26,M,,,547,81.108,276.509,4.825991765,14.58333333,Cstart,20.83141901,25.459,1.2221443,1.996537,185.194,3.232244588
I30d33,I:30d:3,30d,I,28.5,26.04.17,17:00:00,2.112,38.48,F,,,548,34.928,244.47,4.266805806,8.333333333,Cstart,16.6666116,25.224,1.513445,1.939493,192.075,3.352340677
I30d34,I:30d:3,30d,I,28.5,26.04.17,17:05:00,1.694,35.3,M,,,549,82.052,73.04,1.274788302,14.58333333,Cstart,16.66592338,25.972,1.5583895,2.036671,34.611,0.60407582
I7d34,I:7d:3,7d,I,28.5,26.04.17,17:15:00,2.774,42.46,F,,,550,34.827,351.327,6.131812016,4.166666667,Cstart,18.74957226,27.853,1.485527222,2.768965,251.301,4.38602923
I7d23,I:7d:2,7d,I,28.5,26.04.17,17:20:00,1.593,34.7,M,,,551,77.604,335.056,5.847829534,14.58333333,Cstart,16.66683479,19.001,1.1400485,3.066608,16.928,0.295449293
I7d24,I:7d:2,7d,I,28.5,26.04.17,17:45:00,1.693,34.68,M,,,552,122.142,243.435,4.248741651,16.66666667,Cstart,18.7484842,19.326,1.030803333,1.921377,201.448,3.515930364
I3d33,I:3d:3,3d,I,28.5,26.04.17,17:55:00,1.814,35.58,M,,,553,90.963,291.448,5.086726464,25,Cstart,14.58381312,17.478,1.198452,2.796388,289.537,5.053373227
I3d34,I:3d:3,3d,I,28.5,26.04.17,18:45:00,2.166,36.6,M,,,554,102.456,207.418,3.620126505,16.66666667,Other,,,,,,
IC33,I:C:3,C,I,28.5,26.04.17,18:50:00,2.39,38.8,M,,,555,89.8,304.509,5.314683885,20.83333333,Cstart,12.49957099,19.181,1.534532667,3.095796,290.472,5.069692053
IC12,I:C:1,C,I,28.5,26.04.17,19:00:00,2.006,36.88,M,,,556,101.327,60.362,1.053515491,27.08333333,Cstart,18.7494776,19.89,1.060829556,1.977345,103.671,1.809400028
IC13,I:C:1,C,I,28.5,26.04.17,19:10:00,2.827,39.88,F,,,557,78.204,312.609,5.456055534,14.58333333,Cstart,18.74815211,22.236,1.186036889,2.03606,15.945,0.278292709
IH3c,I:H:3,H,I,30.5,27.04.17,10:30:00,1.493,33.3,M,,,559,69.597,124.824,2.178589471,8.333333333,Cstart,10.41644006,16.567,1.5904666,2.937577,157.751,2.753273951
IC1d,I:C:1,C,I,30.5,27.04.17,12:25:00,1.811,36.4,M,,,561,97.585,281.176,4.907446269,543.75,Other,,,,,,
I3d3b,I:3d:3,3d,I,30.5,27.04.17,12:40:00,2.592,38.7,M,,,562,61.716,53.13,0.927293298,250,Other,,,,,,
IH1d,I:H:1,H,I,30.5,27.04.17,12:50:00,1.716,33.7,F,,,563,51.622,17.376,0.303268367,6.25,Cstart,20.8308956,28.84,1.384482,1.384482,144.462,2.52133718
IC2c,I:C:2,C,I,30.5,27.04.17,13:00:00,2.271,37,F,,,564,76.862,31.329,0.546794122,27.08333333,Cstart,16.66540377,20.784,1.2471345,2.691337,77.685,1.355858834
I3d3c,I:3d:3,3d,I,30.5,27.04.17,13:05:00,2.105,36.78,F,,,565,49.912,230.425,4.021674348,6.25,Cstart,20.83156069,25.462,1.22228,1.957954,190.784,3.329808479
IC3b,I:C:3,C,I,30.5,27.04.17,14:00:00,1.637,34.68,M,,,566,70.892,329.56,5.751906252,385.4166667,Other,,,,,,
IC3c,I:C:3,C,I,30.5,27.04.17,14:10:00,2.511,38.68,F,,,567,53.646,342.897,5.984680781,8.333333333,Cstart,33.33448615,45.12,1.353553188,2.666667,203.933,3.55930179
I3d3d,I:3d:3,3d,I,30.5,27.04.17,14:20:00,2.015,37,M,,,568,63.149,354.144,6.180977934,10.41666667,Cstart,18.75098829,28.776,1.534639111,1.939493,81.687,1.4257069
I30d3c,I:30d:3,30d,I,30.5,27.04.17,14:40:00,1.739,34.74,M,,,569,57.778,354.732,6.191240468,70.83333333,Cstart,14.58385716,20.185,1.384064571,3.066608,111.485,1.945780036
I7d1c,I:7d:1,7d,I,30.5,27.04.17,14:50:00,2.074,36.74,F,,,570,54.789,78.111,1.363293935,6.25,Cstart,20.83170566,33.516,1.6088937,3.251477,186.766,3.25968116
I30d2b,I:30d:2,30d,I,30.5,27.04.17,15:05:00,1.929,35.58,M,,,571,74.778,289.964,5.060825782,133.3333333,Cstart,20.8332205,31.542,1.5140242,1.977345,228.094,3.980990729
I30d1b,I:30d:1,30d,I,30.5,27.04.17,15:50:00,1.98,36.26,F,,,572,34.841,92.726,1.618373769,8.333333333,Cstart,22.91907983,31.599,1.378720273,2.954343,183.9,3.209660031
I3d1c,I:3d:1,3d,I,30.5,27.04.17,16:00:00,2.033,35.5,F,,,573,85.85,22.62,0.39479342,12.5,Cstart,14.58471865,16.494,1.130909714,1.920833,87.663,1.530007761
I7d3b,I:7d:3,7d,I,30.5,27.04.17,16:10:00,1.572,34.14,M,,,574,78.229,325.176,5.675391029,10.41666667,Cstart,27.08341795,42.675,1.575687385,3.126457,118.747,2.072525828
I30d3d,I:30d:3,30d,I,30.5,27.04.17,16:20:00,2.589,39.64,F,,,575,86.192,50.44,0.880343948,283.3333333,Other,,,,,,
I7d2b,I:7d:2,7d,I,30.5,27.04.17,16:25:00,1.897,35.8,F,,,576,78.249,327.995,5.724591854,12.5,Cstart,18.75147162,25.67,1.368959222,1.920833,74.249,1.295889329
I7d1d,I:7d:1,7d,I,30.5,27.04.17,16:35:00,2.278,37.68,F,,,578,73.501,72.15,1.259254874,10.41666667,Cstart,20.83401418,22.695,1.0893244,2.077816,159.884,2.790501818
I30d1c,I:30d:1,30d,I,30.5,27.04.17,16:40:00,2.517,39.38,F,,,579,87.916,239.036,4.171964628,8.333333333,Cstart,22.91634321,41.771,1.822760273,3.187742,204.852,3.575341363
I30d2c,I:30d:2,30d,I,30.5,27.04.17,16:50:00,1.628,33.12,M,,,580,65.821,75.114,1.310986425,16.66666667,Cstart,20.83206687,32.247,1.5479501,1.977345,171.943,3.000971042
I30d1d,I:30d:1,30d,I,30.5,27.04.17,17:00:00,1.911,35.74,M,,,581,38.856,353.811,6.175165988,81.25,Other,,,,,,
I30d2d,I:30d:2,30d,I,30.5,27.04.17,17:05:00,2.4,37.56,F,,,582,47.793,100.091,1.746917249,6.25,Cstart,18.74869771,21.805,1.163014111,1.996537,175.389,3.06111508
I7d3c,I:7d:3,7d,I,30.5,27.04.17,17:25:00,2.583,40.9,F,,,583,84.2,129.289,2.256518411,50,Other,,,,,,
I7d3d,I:7d:3,7d,I,30.5,27.04.17,17:30:00,1.589,34,F,,,584,43.68,261.87,4.570493052,4.166666667,Cstart,14.58315631,19.05,1.306301571,2.851203,220.914,3.855676107
I7d2c,I:7d:2,7d,I,30.5,27.04.17,17:40:00,2.001,37.06,M,,,585,98.012,70.331,1.227507339,285.4166667,Other,,,,,,
I7d2d,I:7d:2,7d,I,30.5,27.04.17,17:50:00,2.812,40.4,M,,,586,82.634,295.065,5.149855014,20.83333333,Cstart,31.24807686,35.476,1.135301867,2.879424,153.925,2.686497663
JC31,J:C:3,C,J,28.5,22.05.17,12:00:00,1.39,33.64,F,,,587,86.144,319.295,5.572748231,329.1666667,Other,,,,,,
JH31,J:H:3,H,J,28.5,22.05.17,12:25:00,2.694,40.7,F,,,588,80.16,334.093,5.831022016,14.58333333,Cstart,16.66566319,14.705,0.882353125,1.411765,22.249,0.388318249
J30d11,J:30d:1,30d,J,28.5,22.05.17,12:30:00,1.755,35.72,F,,,589,61.661,2.482,0.043319066,181.25,Other,,,,,,
JC11,J:C:1,C,J,28.5,22.05.17,16:25:00,1.731,34.68,F,,,591,69.439,48.366,0.844145824,12.5,Cstart,22.91454478,24.748,1.080012727,1.903063,175.601,3.064815177
J3d21,J:3d:2,3d,J,28.5,22.05.17,16:30:00,0.982,30,F,,,592,83.112,299.32,5.224118763,14.58333333,Cstart,12.49965173,9.945,0.795622167,1.977345,277.853,4.849448986
JH21,J:H:2,H,J,28.5,22.05.17,16:55:00,1.828,35.38,F,,,593,96.675,352.666,6.155181971,102.0833333,Other,,,,,,
J30d31,J:30d:3,30d,J,28.5,22.05.17,17:15:00,2.102,36.5,F,,,594,34.352,333.636,5.823045862,6.25,Cstart,22.91678557,32.122,1.40168,2.742857,221.186,3.860423402
J3d1a,J:3d:1,3d,J,30.5,22.05.17,17:25:00,1.617,34.5,M,,,595,76.363,4.704,0.082100276,333.3333333,Cstart,20.83331689,23.76,1.1404809,2.851203,292.38,5.10299293
J30d2a,J:30d:2,30d,J,30.5,22.05.17,17:30:00,2.365,38.3,M,,,596,67.354,318.576,5.560199315,181.25,Other,,,,,,
J7d1a,J:7d:1,7d,J,30.5,22.05.17,17:40:00,1.896,36.52,M,,,597,73.317,293.629,5.124792089,320.8333333,Cstart,29.16435062,32.425,1.111802571,1.957954,235.176,4.104594929
JC3a,J:C:3,C,J,30.5,22.05.17,17:45:00,1.344,32.3,F,,,598,82.338,38.991,0.68052123,10.41666667,Cstart,10.41634585,14.34,1.3766824,2.016105,92.862,1.620747416
J7d11,J:7d:1,7d,J,28.5,23.05.17,10:55:00,1.35,31.78,F,,,600,98.936,39.936,0.697014589,16.66666667,Cstart,18.74881231,18.154,0.968274667,2.717238,83.48,1.457000649
JC21,J:C:2,C,J,28.5,23.05.17,12:10:00,2.405,39.52,F,,,601,104.395,69.624,1.215167863,206.25,Cstart,52.08406994,37.711,0.72404096,1.851166,277.696,4.84670882
J3d11,J:3d:1,3d,J,28.5,23.05.17,12:15:00,1.658,35.26,M,,,602,94.9,87.226,1.522380674,20.83333333,Cstart,10.41578034,12.731,1.22228,1.957954,136.325,2.379319759
J30d12,J:30d:1,30d,J,28.5,23.05.17,12:50:00,2.387,36.08,M,,,603,61.517,343.843,6.001191593,10.41666667,Cstart,18.74919443,24.002,1.280161667,1.976769,24.075,0.420187957
JH1b,J:H:1,H,J,30.5,23.05.17,16:25:00,1.902,35.5,M,,,604,91.699,300.158,5.23874462,16.66666667,Cstart,14.58265317,23.718,1.626453,3.156802,227.714,3.974358479
J30d21,J:30d:2,30d,J,28.5,24.05.17,15:20:00,2.621,40,F,,,605,87.489,303.311,5.293774843,170.8333333,Other,,,,,,
J3d32,J:3d:3,3d,J,28.5,24.05.17,16:40:00,1.456,32.96,F,,,606,91.786,350.538,6.11804137,10.41666667,Cstart,12.49995871,12.612,1.008963333,1.939493,294.146,5.13381544
J7d22,J:7d:2,7d,J,28.5,24.05.17,16:50:00,1.68,34.4,M,,,607,72.062,325.008,5.672458876,12.5,Cstart,27.08318665,31.542,1.164634,1.977345,75.784,1.322680129
J30d32,J:30d:3,30d,J,28.5,24.05.17,17:00:00,1.676,33.9,F,,,608,88.333,11.023,0.192387616,12.5,Cstart,14.58292385,21.59,1.480498714,2.795574,299.338,5.224432922
JC3b,J:C:3,C,J,30.5,26.05.17,11:10:00,1.578,34.42,F,,,609,87.103,11.16,0.194778716,418.75,Cstart,16.66701488,16.653,0.999159125,1.939493,89.322,1.558962769
JH1c,J:H:1,H,J,30.5,26.05.17,11:35:00,1.921,36.5,F,,,610,90.567,311.009,5.42813027,14.58333333,Cstart,12.49861845,15.323,1.2259755,1.921377,257.13,4.487764458
JC13,J:C:1,C,J,28.5,26.05.17,11:45:00,2.063,37.86,M,,,611,99.98,196.39,3.427651623,139.5833333,Other,,,,,,
J30d22,J:30d:2,30d,J,28.5,26.05.17,11:50:00,2.075,36.3,M,,,612,18.667,14.036,0.244974378,6.25,Cstart,27.08211304,39.393,1.454576308,2.610856,207.242,3.617054726
J30d23,J:30d:2,30d,J,28.5,26.05.17,13:15:00,1.949,35.8,M,,,613,32.581,56.31,0.98279476,4.166666667,Cstart,22.91551353,32.541,1.420042364,3.156802,142.595,2.488751888
JC2a,J:C:2,C,J,30.5,26.05.17,13:20:00,1.656,35,M,,,614,101.634,57.894,1.010440771,16.66666667,Cstart,14.58181116,16.405,1.125031714,2.057038,123.465,2.15487045
JH3b,J:H:3,H,J,30.5,26.05.17,13:45:00,2.138,37,M,,,615,77.694,92.702,1.61795489,12.5,Cstart,10.41623852,18.5,1.776073,2.768965,129.56,2.261248252
J7d3b,J:7d:3,7d,J,30.5,26.05.17,14:40:00,2.599,38.96,F,,,616,110.95,85.4,1.490510966,14.58333333,Cstart,18.74860951,28.905,1.541714333,1.996537,159.977,2.792124974
JH1d,J:H:1,H,J,30.5,26.05.17,14:50:00,1.488,33.3,M,,,617,94.833,343.301,5.99173191,22.91666667,Cstart,12.49935717,17.986,1.438954,3.095796,285.092,4.975793353
J3d2c,J:3d:2,3d,J,30.5,26.05.17,15:20:00,2.596,40.88,F,,,618,115.218,291.836,5.09349834,10.41666667,Cstart,31.24890879,48.504,1.5521822,2.795574,109.298,1.90760969
JH12,J:H:1,H,J,28.5,26.05.17,16:30:00,2.315,38.14,F,,,619,67.724,304.624,5.316691013,10.41666667,Cstart,14.58162692,14.42,0.988915714,1.384482,358.21,6.251943011
J3d22,J:3d:2,3d,J,28.5,26.05.17,16:40:00,1.543,33.84,F,,,620,91.587,25.71,0.448724086,18.75,Cstart,12.49859192,15.885,1.270943167,2.057038,29.055,0.507105341
J7d12,J:7d:1,7d,J,28.5,26.05.17,16:50:00,1.52,33.74,M,,,621,90.359,276.429,4.824595501,16.66666667,Cstart,12.50044549,13.796,1.103640667,1.939493,210.754,3.678350681
J30d13,J:30d:1,30d,J,28.5,26.05.17,17:45:00,2.734,38.9,F,,,622,70.87,2.386,0.04164355,10.41666667,Cstart,24.99890743,31.032,1.24133425,1.976769,232.815,4.063387711
J7d13,J:7d:1,7d,J,28.5,27.05.17,10:30:00,1.183,32.04,F,,,623,72.929,352.185,6.146786939,16.66666667,Cstart,16.66801115,20.404,1.22414125,1.867976,101.204,1.766342761
JH34,J:H:3,H,J,28.5,27.05.17,10:40:00,1.474,33,M,,,624,95.771,347.213,6.060009181,14.58333333,Cstart,10.41702246,17.323,1.6629512,2.981424,286.858,5.006615863
J30d3b,J:30d:3,30d,J,30.5,27.05.17,12:55:00,2.524,38.7,M,,,625,84.501,316.332,5.521034132,33.33333333,Cstart,20.83439367,23.374,1.1218949,1.885618,279.491,4.878037475
JH3c,J:H:3,H,J,30.5,27.05.17,13:25:00,2.109,37.26,M,,,626,91.755,330.255,5.764036289,22.91666667,Cstart,20.83120745,27.151,1.303381,1.957954,309.644,5.404306529
J3d3c,J:3d:3,3d,J,30.5,27.05.17,13:30:00,2.88,40.74,F,,,627,74.297,64.063,1.118110117,383.3333333,Other,,,,,,
JC22,J:C:2,C,J,28.5,27.05.17,14:00:00,2.051,38.84,F,,,628,83.136,305.538,5.33264332,20.83333333,Cstart,10.41593888,9.571,0.9188802,1.903063,276.746,4.830128194
J7d23,J:7d:2,7d,J,28.5,27.05.17,14:10:00,1.686,33.7,F,,,629,41.643,78.805,1.375406518,8.333333333,Cstart,18.7525848,24.304,1.296034667,1.86849,139.316,2.43152255
JH14,J:H:1,H,J,28.5,27.05.17,14:45:00,2.177,37.12,F,,,630,58.531,313.025,5.463316102,337.5,Other,,,,,,
J3d3d,J:3d:3,3d,J,30.5,27.05.17,15:55:00,1.829,36.06,M,,,631,117.426,107.526,1.876682461,100,Other,,,,,,
J30d3c,J:30d:3,30d,J,30.5,27.05.17,16:20:00,1.827,35.9,F,,,632,71.207,358.919,6.264317394,12.5,Cstart,18.74976933,28.11,1.499218444,3.126457,86.269,1.505677875
J30d3d,J:30d:3,30d,J,30.5,27.05.17,16:25:00,1.683,34.9,F,,,633,107.676,291.161,5.08171737,31.25,Cstart,10.41646546,8.736,0.8386722,1.397787,256.675,4.479823211
JH3d,J:H:3,H,J,30.5,27.05.17,16:35:00,1.971,36.58,M,,,634,49.6,21.801,0.380499175,4.166666667,Cstart,22.91622675,33.426,1.458617091,3.125546,161.565,2.819840799
J7d24,J:7d:2,7d,J,28.5,27.05.17,16:50:00,1.661,34,F,,,635,66.431,312.397,5.452355436,12.5,Cstart,29.16613013,36.692,1.258034571,3.095796,94.038,1.641272485
J3d23,J:3d:2,3d,J,28.5,27.05.17,17:15:00,2.436,38.72,M,,,636,89.704,60.422,1.054562688,89.58333333,Other,,,,,,
JC23,J:C:2,C,J,28.5,27.05.17,17:20:00,1.978,36.52,F,,,637,78.781,315.424,5.505186545,512.5,Other,,,,,,
JH22,J:H:2,H,J,28.5,27.05.17,17:40:00,1.812,33.34,F,,,638,85.204,292.166,5.099257926,16.66666667,Cstart,29.16491286,40.153,1.376757071,2.822699,22.829,0.398441157
JH2b,J:H:2,H,J,30.5,28.05.17,11:30:00,1.892,35.24,F,,,639,90.857,325.656,5.683768608,185.4166667,Other,,,,,,
J3d13,J:3d:1,3d,J,28.5,28.05.17,12:30:00,2.067,36,M,,,640,81.649,30.466,0.531731933,10.41666667,Cstart,16.66475814,17.136,1.02827775,1.371037,62.292,1.087200341
J3d34,J:3d:3,3d,J,28.5,28.05.17,12:55:00,2.239,38.78,F,,,641,85.107,324.782,5.668514433,266.6666667,Other,,,,,,
JC1b,J:C:1,C,J,30.5,28.05.17,13:00:00,2.159,36.86,F,,,642,59.88,316.848,5.53004003,6.25,Cstart,22.91493103,29.541,1.289159455,1.957954,231.953,4.048342975
JC2b,J:C:2,C,J,30.5,28.05.17,13:10:00,2.412,38.92,F,,,643,57.787,356.055,6.214331171,8.333333333,Cstart,20.83297579,26.22,1.2585816,2.016105,277.765,4.847913097
J30d1c,J:30d:1,30d,J,30.5,28.05.17,14:00:00,2.339,39,F,,,644,124.987,294.717,5.143781269,18.75,Cstart,20.83300919,29.19,1.4011418,2.851203,199.242,3.477428406
JC3c,J:C:3,C,J,30.5,28.05.17,14:10:00,2.861,40.4,M,,,645,101.345,93.277,1.627990531,14.58333333,Cstart,29.16598559,47.73,1.636495357,2.851203,196.858,3.435819763
JH2c,J:H:2,H,J,30.5,28.05.17,14:20:00,2.625,39.74,F,,,646,81.717,61.832,1.079171827,14.58333333,Cstart,22.9158267,32.738,1.428619636,1.976769,187.907,3.279595364
J3d24,J:3d:2,3d,J,28.5,28.05.17,14:40:00,2.224,37.72,F,,,647,103.851,52.815,0.921795511,18.75,Cstart,20.83120745,27.151,1.303381,1.957954,330.945,5.776079059
JC1c,J:C:1,C,J,30.5,28.05.17,17:20:00,2.49,39.48,M,,,648,67.746,300.847,5.250769937,12.5,Cstart,18.75009225,21.597,1.151834333,1.977345,236.31,4.12438696
J7d2c,J:7d:2,7d,J,30.5,28.05.17,17:50:00,1.939,36,F,,,649,100.906,359.236,6.269850086,25,Cstart,14.5836338,18.404,1.261962571,2.143424,304.216,5.309570071
J7d2d,J:7d:2,7d,J,30.5,28.05.17,17:55:00,2.623,39.22,F,,,650,41.242,350.538,6.11804137,6.25,Cstart,25.00042232,25.899,1.0359425,3.066608,245.659,4.287557768
