no.;ctmax;dev.temp;ad.temp;dev.treat;ad.treat;observer
21;40.85;23;23;const;const;paul
22;40.16;23;23;const;const;magnus
23;41.82;23;23;const;const;magnus
24;40.24;23;23;const;const;magnus
25;41.67;23;23;const;const;magnus
26;36;23;23;const;const;paul
27;40.23;23;23;const;const;paul
28;40.19;23;23;const;const;paul
29;40.58;23;23;const;const;paul
30;35.68;23;23;const;const;magnus
31;40.08;23;19;const;const;paul
32;40.47;23;19;const;const;magnus
33;40.36;23;19;const;const;magnus
34;41.66;23;19;const;const;magnus
35;41.42;23;19;const;const;magnus
36;40.8;23;19;const;const;paul
37;40.36;23;19;const;const;paul
38;41.13;23;19;const;const;magnus
39;39.98;23;19;const;const;paul
40;40.69;23;19;const;const;paul
41;40.87;23;19;fluct;const;magnus
42;40.77;23;19;fluct;const;magnus
43;41.71;23;19;fluct;const;paul
44;40.5;23;19;fluct;const;magnus
45;40.49;23;19;fluct;const;paul
46;40.56;23;19;fluct;const;magnus
47;41.18;23;19;fluct;const;paul
48;39.82;23;19;fluct;const;paul
49;41.58;23;19;fluct;const;paul
50;41.37;23;19;fluct;const;magnus
51;40.25;23;19;fluct;fluct;paul
52;40.92;23;19;fluct;fluct;magnus
53;40.74;23;19;fluct;fluct;magnus
54;40.9;23;19;fluct;fluct;paul
55;41.48;23;19;fluct;fluct;magnus
56;41.12;23;19;fluct;fluct;paul
57;41.2;23;19;fluct;fluct;magnus
58;41.31;23;19;fluct;fluct;magnus
59;40.44;23;19;fluct;fluct;paul
60;41;23;19;fluct;fluct;paul
61;41.52;23;19;const;fluct;magnus
62;40.78;23;19;const;fluct;paul
63;40.67;23;19;const;fluct;magnus
64;40.84;23;19;const;fluct;magnus
65;40.71;23;19;const;fluct;paul
66;40.97;23;19;const;fluct;magnus
67;40.52;23;19;const;fluct;paul
68;41.16;23;19;const;fluct;magnus
69;40.47;23;19;const;fluct;paul
70;40.6;23;19;const;fluct;paul
71;41.03;23;23;fluct;fluct;paul
72;40.68;23;23;fluct;fluct;paul
73;41.69;23;23;fluct;fluct;magnus
74;41.08;23;23;fluct;fluct;paul
75;40.9;23;23;fluct;fluct;magnus
76;41.8;23;23;fluct;fluct;magnus
77;40.99;23;23;fluct;fluct;paul
78;41.03;23;23;fluct;fluct;magnus
79;40.32;23;23;fluct;fluct;magnus
80;41.34;23;23;fluct;fluct;paul
