"","lizardID","parentPairID","population","incTemp","oneMonthCTmin","oneMonthCTmax","adultCTmin","adultCTmax"
"449","f1-508",186,"P-P",23,13.3,38.4,NA,NA
"450","f1-509",220,"P-P",23,NA,NA,NA,NA
"451","f1-51",2,"P-P",26,NA,NA,NA,NA
"453","f1-511",184,"HR-HR",23,13.3,38.4,NA,NA
"454","f1-512",284,"HR-HR",23,13.8,39.5,NA,NA
"455","f1-513",247,"HR-HR",23,13.3,38.8,NA,NA
"457","f1-515",249,"HR-HR",23,14.2,37.9,NA,NA
"458","f1-516",249,"HR-HR",23,13.1,39.5,NA,NA
"459","f1-517",259,"HR-HR",23,13.7,39.2,NA,NA
"461","f1-519",284,"HR-HR",23,13.2,38.7,NA,NA
"463","f1-520",215,"HR-HR",23,14.2,37.5,NA,NA
"464","f1-521",250,"HR-HR",23,13.8,39,NA,NA
"466","f1-523",259,"HR-HR",23,13.3,39.3,NA,NA
"467","f1-524",250,"HR-HR",23,NA,NA,NA,NA
"471","f1-528",281,"HR-HR",23,13,37.2,NA,NA
"474","f1-530",214,"HR-HR",23,13.3,38.8,NA,NA
"478","f1-534",237,"HR-HR",23,13.5,38.7,NA,NA
"483","f1-539",270,"P-P",23,11.8,38.7,NA,NA
"484","f1-54",7,"HR-HR",23,NA,NA,NA,NA
"487","f1-542",237,"HR-HR",23,NA,NA,NA,NA
"488","f1-543",283,"P-P",23,12.8,38.9,NA,NA
"489","f1-544",283,"P-P",23,12.5,39.3,NA,NA
"490","f1-545",283,"P-P",23,12.3,38.6,NA,NA
"491","f1-546",235,"HR-HR",23,12.8,38.8,NA,NA
"495","f1-55",22,"P-P",26,NA,NA,NA,NA
"497","f1-551",270,"P-P",23,12.2,39.3,NA,NA
"498","f1-552",226,"HR-HR",23,13.4,39.4,NA,NA
"501","f1-555",219,"P-P",23,NA,NA,NA,NA
"502","f1-556",234,"HR-HR",23,12.6,37.8,NA,NA
"503","f1-557",219,"P-P",23,NA,NA,NA,NA
"505","f1-559",251,"HR-HR",23,13.4,39.1,NA,NA
"506","f1-56",22,"P-P",26,NA,NA,NA,NA
"507","f1-560",273,"P-P",23,12.5,38.5,NA,NA
"510","f1-563",234,"HR-HR",23,12.5,39,NA,NA
"511","f1-564",171,"P-P",23,NA,NA,NA,NA
"512","f1-565",246,"HR-HR",23,12.1,38.4,NA,NA
"513","f1-567",281,"HR-HR",23,12.4,38.6,NA,NA
"515","f1-569",247,"HR-HR",23,NA,NA,NA,NA
"516","f1-57",5,"HR-HR",26,NA,NA,NA,NA
"543","f1-595",281,"HR-HR",23,12.9,38.4,NA,NA
"545","f1-597",235,"HR-HR",23,13.3,37.3,NA,NA
"550","f1-600",270,"P-P",23,12.1,38.5,NA,NA
"551","f1-601",270,"P-P",23,12.3,38.3,NA,NA
"552","f1-602",281,"HR-HR",23,12.7,38.6,NA,NA
"555","f1-605",284,"HR-HR",23,13.4,39.1,NA,NA
"560","f1-61",12,"HR-HR",23,NA,NA,NA,NA
"567","f1-616",213,"HR-HR",23,11.9,38.6,NA,NA
"570","f1-619",213,"HR-HR",23,12.6,37.9,NA,NA
"573","f1-621",212,"HR-HR",23,11.8,38.2,NA,NA
"574","f1-622",214,"HR-HR",23,12.2,39.2,NA,NA
"575","f1-623",212,"HR-HR",23,12.3,38.8,NA,NA
"576","f1-624",220,"P-P",23,NA,NA,NA,NA
"580","f1-628",246,"HR-HR",23,13.1,38.9,NA,NA
"581","f1-629",220,"P-P",23,13.2,38.3,NA,NA
"582","f1-63",13,"HR-HR",23,NA,NA,NA,NA
"583","f1-630",171,"P-P",23,13.9,38.6,NA,NA
"584","f1-631",246,"HR-HR",23,13.1,37.8,NA,NA
"585","f1-632",171,"P-P",23,12.8,39.4,NA,NA
"587","f1-634",258,"HR-HR",23,12.4,38.8,NA,NA
"589","f1-636",251,"HR-HR",23,13,38.3,NA,NA
"592","f1-639",258,"HR-HR",23,13.4,38,NA,NA
"599","f1-645",239,"HR-HR",23,12.4,38.3,NA,NA
"600","f1-646",247,"HR-HR",23,12.8,39.3,NA,NA
"601","f1-647",270,"P-P",23,12.6,38.8,NA,NA
"603","f1-649",254,"HR-HR",23,12.3,39.6,NA,NA
"610","f1-655",284,"HR-HR",23,12.5,38.9,NA,NA
"611","f1-656",259,"HR-HR",23,12.3,38.8,NA,NA
"615","f1-66",15,"P-P",23,NA,NA,NA,NA
"618","f1-662",246,"HR-HR",23,12.6,39.4,NA,NA
"619","f1-663",214,"HR-HR",23,12.9,39.3,NA,NA
"620","f1-664",212,"HR-HR",23,12.4,38.4,NA,NA
"621","f1-665",246,"HR-HR",23,12.8,39.1,NA,NA
"624","f1-668",213,"HR-HR",23,NA,NA,NA,NA
"626","f1-670",258,"HR-HR",23,NA,NA,NA,NA
"629","f1-673",251,"HR-HR",23,12.7,38.9,NA,NA
"634","f1-678",177,"HR-HR",23,12.7,39.3,NA,NA
"635","f1-679",244,"P-P",23,13.3,39.4,NA,NA
"637","f1-680",212,"HR-HR",23,12.6,39.3,NA,NA
"642","f1-685",257,"P-P",26,12.6,39.2,NA,NA
"643","f1-686",257,"P-P",26,NA,NA,NA,NA
"644","f1-687",246,"HR-HR",26,NA,38.6,NA,NA
"645","f1-688",257,"P-P",26,NA,NA,NA,NA
"646","f1-689",284,"HR-HR",26,NA,39.2,NA,NA
"647","f1-690",246,"HR-HR",26,NA,38.5,NA,NA
"649","f1-692",171,"P-P",26,NA,39.5,NA,NA
"651","f1-694",284,"HR-HR",26,NA,39.3,NA,NA
"653","f1-696",214,"HR-HR",26,13,38.7,NA,NA
"654","f1-697",214,"HR-HR",26,NA,NA,NA,NA
"655","f1-698",214,"HR-HR",26,NA,NA,NA,NA
"656","f1-699",212,"HR-HR",26,12.7,38.8,NA,NA
"659","f1-700",212,"HR-HR",26,13,39,NA,NA
"661","f1-702",212,"HR-HR",26,12.8,38.6,NA,NA
"662","f1-703",246,"HR-HR",26,12.7,38.5,NA,NA
"665","f1-706",212,"HR-HR",26,13.2,37.4,NA,NA
"666","f1-707",244,"P-P",26,13.1,39.7,NA,NA
"667","f1-708",244,"P-P",26,12.8,39.1,NA,NA
"668","f1-709",244,"P-P",26,13.1,39.3,NA,NA
"670","f1-710",244,"P-P",26,13.3,37.3,NA,NA
"673","f1-713",220,"P-P",26,13.2,39.5,NA,NA
"677","f1-717",220,"P-P",26,12.5,39.4,NA,NA
"686","f1-725",249,"HR-HR",26,13.1,39.5,NA,NA
"688","f1-727",220,"P-P",26,13.1,39.7,NA,NA
"699","f1-737",213,"HR-HR",26,13,38.9,NA,NA
"700","f1-738",213,"HR-HR",26,13.6,NA,NA,NA
"701","f1-739",284,"HR-HR",26,13.2,39.8,NA,NA
"703","f1-740",213,"HR-HR",26,13.4,39.9,NA,NA
"704","f1-741",213,"HR-HR",26,13.6,39.4,NA,NA
"705","f1-742",284,"HR-HR",26,13.6,39.5,NA,NA
"706","f1-743",212,"HR-HR",26,13.2,39.5,NA,NA
"707","f1-744",212,"HR-HR",26,13.3,39.3,NA,NA
"708","f1-745",244,"P-P",26,NA,NA,NA,NA
"709","f1-746",244,"P-P",26,12.4,39.7,NA,NA
"710","f1-747",212,"HR-HR",26,12.7,39.7,NA,NA
"711","f1-748",244,"P-P",26,NA,NA,NA,NA
"712","f1-749",214,"HR-HR",26,NA,NA,NA,NA
"725","f1-86",9,"P-P",26,NA,NA,NA,NA
