pop	devTemp	accTemp	accTime	ctmax
BR	25	25	14	38.7
BR	25	25	14	38.9
BR	25	25	14	39
BR	25	25	14	39
BR	25	25	14	39.2
BR	25	25	14	39.2
SD	20	20	14	37.2
SD	20	20	14	37.4
SD	20	20	14	37.5
SD	20	20	14	37.6
SD	20	20	14	37.7
SD	20	20	14	37.7
SD	20	20	14	37.7
SD	20	20	14	37.9
SD	20	20	14	38
SD	20	20	14	38
SD	20	20	14	38
SD	20	20	14	38.1
SD	20	20	14	38.1
SD	20	20	14	38.2
SD	20	20	14	38.2
SD	20	20	14	38.5
SD	20	25	10	37.3
SD	20	25	10	37.8
SD	20	25	10	37.9
SD	20	25	10	37.9
SD	20	25	10	38
SD	20	25	10	38.2
SD	20	25	10	38.2
SD	20	25	10	38.2
SD	20	25	10	38.4
SD	20	25	10	38.5
SD	20	25	10	38.6
SD	20	25	10	38.6
SD	20	25	10	38.7
SD	20	25	10	38.7
SD	20	25	10	38.8
SD	20	25	10	39
SD	20	25	14	37.5
SD	20	25	14	37.6
SD	20	25	14	37.6
SD	20	25	14	37.7
SD	20	25	14	37.8
SD	20	25	14	37.8
SD	20	25	14	37.8
SD	20	25	14	38
SD	20	25	14	38.2
SD	20	25	14	38.2
SD	20	25	14	38.2
SD	20	25	14	38.3
SD	20	25	14	38.3
SD	20	25	14	38.4
SD	20	25	14	38.7
SD	20	25	14	38.9
SD	25	20	14	37.1
SD	25	20	14	37.5
SD	25	20	14	37.8
SD	25	20	14	37.8
SD	25	20	14	37.9
SD	25	20	14	38
SD	25	20	14	38
SD	25	20	14	38.1
SD	25	20	14	38.1
SD	25	20	14	38.2
SD	25	20	14	38.4
SD	25	20	14	38.4
SD	25	20	14	38.5
SD	25	20	14	38.6
SD	25	20	14	38.7
SD	25	20	14	38.8
SD	25	25	10	38.7
SD	25	25	10	38.8
SD	25	25	10	38.8
SD	25	25	10	38.9
SD	25	25	10	38.9
SD	25	25	10	39
SD	25	25	10	39
SD	25	25	10	39
SD	25	25	10	39
SD	25	25	10	39.1
SD	25	25	10	39.2
SD	25	25	10	39.2
SD	25	25	10	39.3
SD	25	25	10	39.3
SD	25	25	10	39.3
SD	25	25	10	39.4
SD	25	25	14	38.4
SD	25	25	14	38.7
SD	25	25	14	38.8
SD	25	25	14	38.9
SD	25	25	14	39
SD	25	25	14	39.1
SD	25	25	14	39.1
SD	25	25	14	39.1
SD	25	25	14	39.2
SD	25	25	14	39.2
SD	25	25	14	39.2
SD	25	25	14	39.3
SD	25	25	14	39.5
SD	25	25	14	39.5
SD	25	25	14	39.5
SD	25	25	14	39.7
