no.;ctmax;dev.temp;ad.temp;dev.treat;ad.treat;observer
41;39.76;23;23;const;const;paul
42;39.1;23;23;const;const;paul
43;40;23;23;const;const;paul
44;39.89;23;23;const;const;paul
45;40.15;23;23;const;const;paul
46;40;23;23;const;const;paul
47;39.95;23;23;const;const;paul
48;40;23;23;const;const;paul
49;39.32;23;23;const;const;paul
50;39.92;23;23;const;const;paul
51;40;23;19;const;const;paul
52;39.78;23;19;const;const;paul
53;39.42;23;19;const;const;paul
54;40;23;19;const;const;paul
55;38.75;23;19;const;const;paul
56;40;23;19;const;const;paul
57;38.94;23;19;const;const;paul
58;39.57;23;19;const;const;paul
59;40;23;19;const;const;paul
60;40;23;19;const;const;paul
61;39.62;23;23;fluct;fluct;paul
62;40.2;23;23;fluct;fluct;paul
63;40;23;23;fluct;fluct;paul
64;39.84;23;23;fluct;fluct;paul
65;39.84;23;23;fluct;fluct;paul
66;40;23;23;fluct;fluct;paul
67;39.5;23;23;fluct;fluct;paul
68;40.15;23;23;fluct;fluct;paul
69;40;23;23;fluct;fluct;paul
70;40;23;23;fluct;fluct;paul
71;39.37;23;19;fluct;fluct;paul
72;39.53;23;19;fluct;fluct;paul
73;39.54;23;19;fluct;fluct;paul
74;39.95;23;19;fluct;fluct;paul
75;39.67;23;19;fluct;fluct;paul
76;38.2;23;19;fluct;fluct;paul
77;40;23;19;fluct;fluct;paul
78;38.2;23;19;fluct;fluct;paul
79;38.91;23;19;fluct;fluct;paul
80;39.16;23;19;fluct;fluct;paul
